0808 > 1137|	Deoxys 1 - 808
0903 > 1237|	Hoopa 1 - 903
0904 > 1120|	Camerupt 1 - 904
0905 > 1146|	Lopunny 1 - 905
0906 > 1130|	Salamence 1 - 906
0907 > 1030|	Beedrill 1 - 907
0908 > 1249|	Wishiwashi 1 - 908
0909 > 1242|	Oricorio 1 - 909
0910 > 1243|	Oricorio 2 - 910
0911 > 1244|	Oricorio 3 - 911
0912 > 1247|	Lycanroc 1 - 912
0913 > 1248|	Lycanroc 2 - 913
0914 > 1032|	Rattata 1 - 914
0915 > 1033|	Raticate 1 - 915
0916 > 1034|	Raticate 2 - 916
0917 > 1043|	Raichu 1 - 917
0918 > 1046|	Sandshrew 1 - 918
0919 > 1047|	Sandslash 1 - 919
0920 > 1049|	Vulpix 1 - 920
0921 > 1050|	Ninetales 1 - 921
0922 > 1053|	Meowth 1 - 922
0923 > 1054|	Persian 1 - 923
0924 > 1060|	Geodude 1 - 924
0925 > 1061|	Graveler 1 - 925
0926 > 1062|	Golem 1 - 926
0927 > 1069|	Grimer 1 - 927
0928 > 1070|	Muk 1 - 928
0929 > 1074|	Exeggutor 1 - 929
0930 > 1075|	Marowak 1 - 930
0931 > 1076|	Marowak 2 - 931
0932 > 1195|	Greninja 1 - 932
0933 > 1196|	Greninja 2 - 933
0934 > 1231|	Zygarde 1 - 934
0935 > 1232|	Zygarde 2 - 935
0936 > 1233|	Zygarde 3 - 936
0937 > 1234|	Zygarde 4 - 937
0938 > 1254|	Minior 1 - 938
0939 > 1255|	Minior 2 - 939
0940 > 1256|	Minior 3 - 940
0941 > 1257|	Minior 4 - 941
0942 > 1258|	Minior 5 - 942
0943 > 1259|	Minior 6 - 943
0944 > 1260|	Minior 7 - 944
0945 > 1261|	Minior 8 - 945
0946 > 1262|	Minior 9 - 946
0947 > 1263|	Minior 10 - 947
0948 > 1264|	Minior 11 - 948
0949 > 1265|	Minior 12 - 949
0950 > 1266|	Minior 13 - 950
0951 > 1051|	Diglett 1 - 951
0952 > 1052|	Dugtrio 1 - 952
0953 > 1268|	Mimikyu 1 - 953
0954 > 1269|	Mimikyu 2 - 954
0955 > 1270|	Mimikyu 3 - 955
0956 > 1276|	Magearna 1 - 956
0957 > 1035|	Pikachu 1 - 957
0958 > 1036|	Pikachu 2 - 958
0959 > 1037|	Pikachu 3 - 959
0960 > 1038|	Pikachu 4 - 960
0961 > 1039|	Pikachu 5 - 961
0962 > 1040|	Pikachu 6 - 962
0963 > 1041|	Pikachu 7 - 963
0964 > 1239|	Gumshoos 1 - 964
0965 > 1240|	Vikavolt 1 - 965
0966 > 1251|	Lurantis 1 - 966
0967 > 1252|	Salazzle 1 - 967
0968 > 1272|	Kommo-o 1 - 968
0969 > 1273|	Necrozma 1 - 969
0970 > 1274|	Necrozma 2 - 970
0971 > 1275|	Necrozma 3 - 971
0972 > 1250|	Araquanid 1 - 972
0973 > 1267|	Togedemaru 1 - 973
0974 > 1245|	Ribombee 1 - 974
0975 > 1246|	Rockruff 1 - 975
